id	condition	treatment	day	bwc	burrowing	nesting	dscore	fcm
AA52	pancreatitis	cont. (miRNA-21 inh.)	-1	100	100		0	590.52
AA52	pancreatitis	cont. (miRNA-21 inh.)	2	97.87234043	25.73099415		0	1735.86
AA52	pancreatitis	cont. (miRNA-21 inh.)	16	94.68085106	32.16374269		0	582.12
AA52	pancreatitis	cont. (miRNA-21 inh.)	30	97.87234043	14.03508772		2	656.46
AA53	pancreatitis	cont. (miRNA-21 inh.)	-1	100	100		0	334.74
AA53	pancreatitis	cont. (miRNA-21 inh.)	2	99.32432432	0		0	496.02
AA53	pancreatitis	cont. (miRNA-21 inh.)	16	95.94594595	4.47761194		2	455.28
AA53	pancreatitis	cont. (miRNA-21 inh.)	30	92.56756757	6.71641791		2	1071
AA54	pancreatitis	miRNA-21 inh.	-1	100	100		0	804.3
AA54	pancreatitis	miRNA-21 inh.	2	97.81021898	38.17204301		0	598.5
AA54	pancreatitis	miRNA-21 inh.	16	92.70072993	32.79569892		0	1013.46
AA54	pancreatitis	miRNA-21 inh.	30	96.71532847	107.5268817		0	542.64
AA55	pancreatitis	cont. (miRNA-21 inh.)	-1	100	100		0	567.84
AA55	pancreatitis	cont. (miRNA-21 inh.)	2	96.96969697	17.80821918		0	806.4
AA55	pancreatitis	cont. (miRNA-21 inh.)	16	95.45454545	8.219178082		0	1240.68
AA55	pancreatitis	cont. (miRNA-21 inh.)	30	96.96969697	35.61643836		0	1866.06
AA56	pancreatitis	miRNA-21 inh.	-1	100	100		0	645.96
AA56	pancreatitis	miRNA-21 inh.	2	96	2.884615385		0	644.28
AA56	pancreatitis	miRNA-21 inh.	16	97.81818182	1.923076923		0	259.56
AA56	pancreatitis	miRNA-21 inh.	30	99.27272727	67.30769231		0	483.84
AA57	pancreatitis	cont. (miRNA-21 inh.)	-1	100	100		0	677.88
AA57	pancreatitis	cont. (miRNA-21 inh.)	2	99.25373134	44.51612903		0	878.22
AA57	pancreatitis	cont. (miRNA-21 inh.)	16	95.52238806	9.677419355		0	577.08
AA57	pancreatitis	cont. (miRNA-21 inh.)	30	98.50746269	81.29032258		0	526.68
AA58	pancreatitis	miRNA-21 inh.	-1	100	100		0	540.96
AA58	pancreatitis	miRNA-21 inh.	2	102.166065	70.05076142		0	641.76
AA58	pancreatitis	miRNA-21 inh.	16	100	62.94416244		0	557.34
AA58	pancreatitis	miRNA-21 inh.	30	93.50180505	0.507614213		0	767.76
AA59	pancreatitis	cont. (miRNA-21 inh.)	-1	100	100		0	581.7
AA59	pancreatitis	cont. (miRNA-21 inh.)	2	96.74267101	0		0	1125.6
AA59	pancreatitis	cont. (miRNA-21 inh.)	16	93.15960912	69.71830986		2	1008.42
